Input,Output
Create a magic recipe for Made the drinker think the one who gave them the potion was their best friend.,"Gregory's Unctuous Unction | Ingredients: Eye of Newt, Moly, Moonstone, Antimony, Horned toad | Steps: 1. Use Reparo to prepare the cauldron and summon all necessary ingredients., 2. Add Eye of Newt and Moly, and stir clockwise for 10 minutes., 3. Cast Impervius to heat the mixture to a boiling point., 4. Add Moonstone, Antimony, and Horned toad., 5. Use Capacious Extremis to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Prolonged endurance.,"Girding Potion | Ingredients: Horned slug, Bubotuber pus, Nagini's venom, Toe of Frog, Thyme | Steps: 1. Use Anapneo to prepare the cauldron and summon all necessary ingredients., 2. Add Horned slug and Bubotuber pus, and stir clockwise for 10 minutes., 3. Cast Avada Kedavra to heat the mixture to a boiling point., 4. Add Nagini's venom, Toe of Frog, and Thyme., 5. Use Impervius to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Relieved and/or cured cold symptoms.,"Grand Pepperup Potion | Ingredients: Snake fang, Mandrake, Fire, Moonstone, Fairy wings | Steps: 1. Use Alohomora to prepare the cauldron and summon all necessary ingredients., 2. Add Snake fang and Mandrake, and stir clockwise for 10 minutes., 3. Cast Aparecium to heat the mixture to a boiling point., 4. Add Fire, Moonstone, and Fairy wings., 5. Use Obliviate to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
"Create a magic recipe for Heals injuries, restores stamina.","Grand Wiggenweld Potion | Ingredients: Abraxan hair, Sliced caterpillar, Sardine, Morning dew, Wormwood | Steps: 1. Use Aberto to prepare the cauldron and summon all necessary ingredients., 2. Add Abraxan hair and Sliced caterpillar, and stir clockwise for 10 minutes., 3. Cast Immobulus to heat the mixture to a boiling point., 4. Add Sardine, Morning dew, and Wormwood., 5. Use Incendio to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Supposedly protect the drinker from the effects of dark magic (likely useless).,"Fake protective potions | Ingredients: Rat spleen, Bone, Dandelion root, Pickled Slugs, Camphirated Spirit | Steps: 1. Use Silencio to prepare the cauldron and summon all necessary ingredients., 2. Add Rat spleen and Bone, and stir clockwise for 10 minutes., 3. Cast Stupefy to heat the mixture to a boiling point., 4. Add Dandelion root, Pickled Slugs, and Camphirated Spirit., 5. Use Obscuro to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Helps deal with Traces.,"Dawdle Draught | Ingredients: Tongue of Dog, Mistletoe berry, Rose thorn, Blood, Saltpetre | Steps: 1. Use Oppugno to prepare the cauldron and summon all necessary ingredients., 2. Add Tongue of Dog and Mistletoe berry, and stir clockwise for 10 minutes., 3. Cast Avada Kedavra to heat the mixture to a boiling point., 4. Add Rose thorn, Blood, and Saltpetre., 5. Use Immobulus to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Removes boils.,"Cure for Boils | Ingredients: Maw, Sneezewort, Castor oil, Wormwood Essence, Fire Seed | Steps: 1. Use Alohomora to prepare the cauldron and summon all necessary ingredients., 2. Add Maw and Sneezewort, and stir clockwise for 10 minutes., 3. Cast Anapneo to heat the mixture to a boiling point., 4. Add Castor oil, Wormwood Essence, and Fire Seed., 5. Use Renneverate to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Repels Flesh-Eating Slugs.,"Flesh-Eating Slug Repellent | Ingredients: Kneazle hair, Tubeworm, Knarl quill, Galanthus Nivalis, Scurvy grass | Steps: 1. Use Silencio to prepare the cauldron and summon all necessary ingredients., 2. Add Kneazle hair and Tubeworm, and stir clockwise for 10 minutes., 3. Cast Riddikulus to heat the mixture to a boiling point., 4. Add Knarl quill, Galanthus Nivalis, and Scurvy grass., 5. Use Alohomora to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Deflated the target.,"Deflating Draught | Ingredients: Onion juice, Poppy head, Graphorn horn, Star Grass, Bezoar | Steps: 1. Use Aparecium to prepare the cauldron and summon all necessary ingredients., 2. Add Onion juice and Poppy head, and stir clockwise for 10 minutes., 3. Cast Homenum Revelio to heat the mixture to a boiling point., 4. Add Graphorn horn, Star Grass, and Bezoar., 5. Use Evanesco to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Counteracted the effects of common poisons.,"Antidote to Common Poisons | Ingredients: Niffler's Fancy, Salamander blood, Spider, Acromantula venom, Wartizome | Steps: 1. Use Wingardium Leviosa to prepare the cauldron and summon all necessary ingredients., 2. Add Niffler's Fancy and Salamander blood, and stir clockwise for 10 minutes., 3. Cast Diffindo to heat the mixture to a boiling point., 4. Add Spider, Acromantula venom, and Wartizome., 5. Use Rictusempra to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
"Create a magic recipe for Causes choking, possibly suffocation.","Garrotting Gas | Ingredients: Fillet of a Fenny Snake, Salt, Polypody, Daisy, Wiggentree bark | Steps: 1. Use Piertotum Locomotor to prepare the cauldron and summon all necessary ingredients., 2. Add Fillet of a Fenny Snake and Salt, and stir clockwise for 10 minutes., 3. Cast Anapneo to heat the mixture to a boiling point., 4. Add Polypody, Daisy, and Wiggentree bark., 5. Use Confundo to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Healed burns.,"Burn-healing paste | Ingredients: Sopophorous plant, Cat hair, Billywig sting, Howlet's Wing, Bursting mushroom | Steps: 1. Use Fiendfyre Curse to prepare the cauldron and summon all necessary ingredients., 2. Add Sopophorous plant and Cat hair, and stir clockwise for 10 minutes., 3. Cast Furnunculus Curse to heat the mixture to a boiling point., 4. Add Billywig sting, Howlet's Wing, and Bursting mushroom., 5. Use Reducto to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Memory loss.,"Forgetfulness Potion | Ingredients: Fanged Geranium, Frog, Salt, Dragon dung, Starthistle | Steps: 1. Use Protego to prepare the cauldron and summon all necessary ingredients., 2. Add Fanged Geranium and Frog, and stir clockwise for 10 minutes., 3. Cast Disillusionment Charm to heat the mixture to a boiling point., 4. Add Salt, Dragon dung, and Starthistle., 5. Use Unbreakable Vow to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
"Create a magic recipe for Treats ringworm, fungicide.","Fergus Fungal Budge | Ingredients: Woodlice Extract 63, Plangentine, Snakeweed, Billywig sting, Blind-worm's Sting | Steps: 1. Use Avis to prepare the cauldron and summon all necessary ingredients., 2. Add Woodlice Extract 63 and Plangentine, and stir clockwise for 10 minutes., 3. Cast Piertotum Locomotor to heat the mixture to a boiling point., 4. Add Snakeweed, Billywig sting, and Blind-worm's Sting., 5. Use Apparate to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Germinated plants.,"Germinating Potion | Ingredients: Sopophorous plant, Stewed Mandrake, Mint, Salt water, Billywig sting | Steps: 1. Use Brackium Emendo to prepare the cauldron and summon all necessary ingredients., 2. Add Sopophorous plant and Stewed Mandrake, and stir clockwise for 10 minutes., 3. Cast Accio to heat the mixture to a boiling point., 4. Add Mint, Salt water, and Billywig sting., 5. Use Homonculus Charm to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Provoked stomach growling.,"Caxambu Style Borborygmus Potion | Ingredients: Shrivelfig, Gillyweed, Herbaria, Octopus Powder, Witch's Ganglion | Steps: 1. Use Oppugno to prepare the cauldron and summon all necessary ingredients., 2. Add Shrivelfig and Gillyweed, and stir clockwise for 10 minutes., 3. Cast Spongify to heat the mixture to a boiling point., 4. Add Herbaria, Octopus Powder, and Witch's Ganglion., 5. Use Episkey to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
"Create a magic recipe for Causes choking, possibly suffocation.","Garrotting Gas | Ingredients: Tar, Cowbane, Borage, Avocado, Dragon blood | Steps: 1. Use Langlock to prepare the cauldron and summon all necessary ingredients., 2. Add Tar and Cowbane, and stir clockwise for 10 minutes., 3. Cast Periculum to heat the mixture to a boiling point., 4. Add Borage, Avocado, and Dragon blood., 5. Use Disapparate to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Volatile mixture.,"Exploding Potion | Ingredients: Baneberry, Bat spleen, Silver, Asphodel, Pond Slime | Steps: 1. Use Reducio to prepare the cauldron and summon all necessary ingredients., 2. Add Baneberry and Bat spleen, and stir clockwise for 10 minutes., 3. Cast Finite Incantatem to heat the mixture to a boiling point., 4. Add Silver, Asphodel, and Pond Slime., 5. Use Avada Kedavra to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
"Create a magic recipe for Caused the drinker to fall into a deep, death-like slumber.","Draught of Living Death | Ingredients: Lavender, Wiggentree, Bloodroot, Wool of Bat, Chinese Chomping Cabbage | Steps: 1. Use Crinus Muto to prepare the cauldron and summon all necessary ingredients., 2. Add Lavender and Wiggentree, and stir clockwise for 10 minutes., 3. Cast Oppugno to heat the mixture to a boiling point., 4. Add Bloodroot, Wool of Bat, and Chinese Chomping Cabbage., 5. Use Sectumsempra to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Poison.,"Baneberry Potion | Ingredients: Moonstone, Cat hair, Porcupine quill, Vinegar, Venomous Tentacula | Steps: 1. Use Aguamenti to prepare the cauldron and summon all necessary ingredients., 2. Add Moonstone and Cat hair, and stir clockwise for 10 minutes., 3. Cast Engorgio to heat the mixture to a boiling point., 4. Add Porcupine quill, Vinegar, and Venomous Tentacula., 5. Use Crinus Muto to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Changed the colour of the drinker's hair.,"Hair-Dyeing Potion | Ingredients: Mint, Salpeter, Bouncing Bulb, Aconite, Pritcher's Porritch | Steps: 1. Use Ferula to prepare the cauldron and summon all necessary ingredients., 2. Add Mint and Salpeter, and stir clockwise for 10 minutes., 3. Cast Reparifors to heat the mixture to a boiling point., 4. Add Bouncing Bulb, Aconite, and Pritcher's Porritch., 5. Use Morsmordre to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
"Create a magic recipe for Treats ringworm, fungicide.","Fergus Fungal Budge | Ingredients: Neem oil, Chizpurfle fang, Vervain, Dandelion root, Balm | Steps: 1. Use Expelliarmus to prepare the cauldron and summon all necessary ingredients., 2. Add Neem oil and Chizpurfle fang, and stir clockwise for 10 minutes., 3. Cast Ferula to heat the mixture to a boiling point., 4. Add Vervain, Dandelion root, and Balm., 5. Use Unbreakable Vow to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Gave the drinker rocky skin.,"Edurus Potion | Ingredients: Hellebore, Jewelweed, Vervain infusion, Horseradish, Caterpillar | Steps: 1. Use Morsmordre to prepare the cauldron and summon all necessary ingredients., 2. Add Hellebore and Jewelweed, and stir clockwise for 10 minutes., 3. Cast Conjunctivitis Curse to heat the mixture to a boiling point., 4. Add Vervain infusion, Horseradish, and Caterpillar., 5. Use Evanesco to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Cured coughing.,"Cough Potion | Ingredients: Fairy wings, Newt, Rat spleen, Puffer-fish eyes, Cheese | Steps: 1. Use Anapneo to prepare the cauldron and summon all necessary ingredients., 2. Add Fairy wings and Newt, and stir clockwise for 10 minutes., 3. Cast Periculum to heat the mixture to a boiling point., 4. Add Rat spleen, Puffer-fish eyes, and Cheese., 5. Use Homenum Revelio to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
"Create a magic recipe for Treats ringworm, fungicide.","Fergus Fungal Budge | Ingredients: Eel eye, Antimony, Left handed nazle powder, Camphirated Spirit, Vervain infusion | Steps: 1. Use Protean Charm to prepare the cauldron and summon all necessary ingredients., 2. Add Eel eye and Antimony, and stir clockwise for 10 minutes., 3. Cast Aparecium to heat the mixture to a boiling point., 4. Add Left handed nazle powder, Camphirated Spirit, and Vervain infusion., 5. Use Erecto to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
"Create a magic recipe for Supposedly cleaned, but actually spawned mould and grime.","Everklena | Ingredients: Vervain infusion, White spirit, Fanged Geranium, Horn of Bicorn, Angel's Trumpet | Steps: 1. Use Geminio to prepare the cauldron and summon all necessary ingredients., 2. Add Vervain infusion and White spirit, and stir clockwise for 10 minutes., 3. Cast Obliviate to heat the mixture to a boiling point., 4. Add Fanged Geranium, Horn of Bicorn, and Angel's Trumpet., 5. Use Obscuro to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Uncontrollable laughter.,"Alihotsy Draught | Ingredients: Neem oil, Wiggentree, Frog brain, White spirit, Dragon Claw Ooze | Steps: 1. Use Impervius to prepare the cauldron and summon all necessary ingredients., 2. Add Neem oil and Wiggentree, and stir clockwise for 10 minutes., 3. Cast Glisseo to heat the mixture to a boiling point., 4. Add Frog brain, White spirit, and Dragon Claw Ooze., 5. Use Renneverate to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Uncontrollable laughter.,"Alihotsy Draught | Ingredients: Plangentine, Baneberry, Boom Berry, Frog brain, Water | Steps: 1. Use Spongify to prepare the cauldron and summon all necessary ingredients., 2. Add Plangentine and Baneberry, and stir clockwise for 10 minutes., 3. Cast Nox to heat the mixture to a boiling point., 4. Add Boom Berry, Frog brain, and Water., 5. Use Confundo to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Allegedly increases one's brain power.,"Baruffio's Brain Elixir | Ingredients: Wiggenbush, Scale of Dragon, Firefly, Corn starch, Silver | Steps: 1. Use Expecto patronum to prepare the cauldron and summon all necessary ingredients., 2. Add Wiggenbush and Scale of Dragon, and stir clockwise for 10 minutes., 3. Cast Protego to heat the mixture to a boiling point., 4. Add Firefly, Corn starch, and Silver., 5. Use Avada Kedavra to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Poisonous.,"Bloodroot Poison | Ingredients: Arnica, Nettle, Saltpetre, Bat wing, Flying Seahorse | Steps: 1. Use Fidelius Charm to prepare the cauldron and summon all necessary ingredients., 2. Add Arnica and Nettle, and stir clockwise for 10 minutes., 3. Cast Mucus Ad Nauseam to heat the mixture to a boiling point., 4. Add Saltpetre, Bat wing, and Flying Seahorse., 5. Use Homonculus Charm to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Returned transfigured or cursed individuals to their original state.,"Mandrake Restorative Draught | Ingredients: Star Grass, Gillyweed, Moondew, Castor oil, Snakeweed | Steps: 1. Use Incarcerous to prepare the cauldron and summon all necessary ingredients., 2. Add Star Grass and Gillyweed, and stir clockwise for 10 minutes., 3. Cast Glisseo to heat the mixture to a boiling point., 4. Add Moondew, Castor oil, and Snakeweed., 5. Use Oculus Reparo to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Poisonous.,"Angel's Trumpet Draught | Ingredients: Snakeweed, Banana, Spider fang, Dragon horn, Rat tail | Steps: 1. Use Capacious Extremis to prepare the cauldron and summon all necessary ingredients., 2. Add Snakeweed and Banana, and stir clockwise for 10 minutes., 3. Cast Fidelius Charm to heat the mixture to a boiling point., 4. Add Spider fang, Dragon horn, and Rat tail., 5. Use Tarantallegra to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Healed wounds left by negative thoughts.,"Dr Ubbly's Oblivious Unction | Ingredients: Ptolemy (potion ingredient), Liver, Chizpurfle fang, Gnat Heads, Peacock feather | Steps: 1. Use Mucus Ad Nauseam to prepare the cauldron and summon all necessary ingredients., 2. Add Ptolemy (potion ingredient) and Liver, and stir clockwise for 10 minutes., 3. Cast Levicorpus to heat the mixture to a boiling point., 4. Add Chizpurfle fang, Gnat Heads, and Peacock feather., 5. Use Serpensortia to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Poisonous to dogs (possibly).,"Dogbane Potion | Ingredients: Dragon horn, Wine, Haliwinkles, Deadlyius, African Red Pepper | Steps: 1. Use Fidelius Charm to prepare the cauldron and summon all necessary ingredients., 2. Add Dragon horn and Wine, and stir clockwise for 10 minutes., 3. Cast Unbreakable Vow to heat the mixture to a boiling point., 4. Add Haliwinkles, Deadlyius, and African Red Pepper., 5. Use Geminio to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Relieved and/or cured cold symptoms.,"Grand Pepperup Potion | Ingredients: Castor oil, Tar, Eye of Newt, Ptolemy (potion ingredient), Shrake spine | Steps: 1. Use Avada Kedavra to prepare the cauldron and summon all necessary ingredients., 2. Add Castor oil and Tar, and stir clockwise for 10 minutes., 3. Cast Morsmordre to heat the mixture to a boiling point., 4. Add Eye of Newt, Ptolemy (potion ingredient), and Shrake spine., 5. Use Episkey to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Rapid hair growth.,"Manegro Potion | Ingredients: Venomous Tentacula leaf, Chicken (food), Liver, Gurdyroot, Spleenwart | Steps: 1. Use Reducto to prepare the cauldron and summon all necessary ingredients., 2. Add Venomous Tentacula leaf and Chicken (food), and stir clockwise for 10 minutes., 3. Cast Imperio to heat the mixture to a boiling point., 4. Add Liver, Gurdyroot, and Spleenwart., 5. Use Alohomora to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Healed wounds left by negative thoughts.,"Dr Ubbly's Oblivious Unction | Ingredients: Flesh, Infusion of Wormwood, Lobalug venom, Poison ivy, Vervain | Steps: 1. Use Geminio to prepare the cauldron and summon all necessary ingredients., 2. Add Flesh and Infusion of Wormwood, and stir clockwise for 10 minutes., 3. Cast Incarcerous to heat the mixture to a boiling point., 4. Add Lobalug venom, Poison ivy, and Vervain., 5. Use Spongify to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Polished silver objects.,"Madame Glossy's Silver Polish | Ingredients: Mandrake Root, Sopophorous plant, Venomous Tentacula leaf, Tubeworm, Liver | Steps: 1. Use Muffliato to prepare the cauldron and summon all necessary ingredients., 2. Add Mandrake Root and Sopophorous plant, and stir clockwise for 10 minutes., 3. Cast Ascendio to heat the mixture to a boiling point., 4. Add Venomous Tentacula leaf, Tubeworm, and Liver., 5. Use Glisseo to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Poisonous.,"Bloodroot Poison | Ingredients: Scarab beetle, Starthistle, Honeywater, Vervain, Asian Dragon Hair | Steps: 1. Use Homonculus Charm to prepare the cauldron and summon all necessary ingredients., 2. Add Scarab beetle and Starthistle, and stir clockwise for 10 minutes., 3. Cast Avis to heat the mixture to a boiling point., 4. Add Honeywater, Vervain, and Asian Dragon Hair., 5. Use Apparate to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Induces happiness.,"Elixir to Induce Euphoria | Ingredients: Honeywater, Cowbane, Dragon liver, Unicorn blood, Shrivelfig | Steps: 1. Use Petrificus Totalus to prepare the cauldron and summon all necessary ingredients., 2. Add Honeywater and Cowbane, and stir clockwise for 10 minutes., 3. Cast Expecto patronum to heat the mixture to a boiling point., 4. Add Dragon liver, Unicorn blood, and Shrivelfig., 5. Use Disillusionment Charm to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
"Create a magic recipe for Induced fear, delirium, intense stomach pain and extreme thirst in the drinker.","Emerald Potion | Ingredients: Dragon claw, Pritcher's Porritch, Sopophorous bean, Acromantula venom, Mercury and Mars | Steps: 1. Use Lumos to prepare the cauldron and summon all necessary ingredients., 2. Add Dragon claw and Pritcher's Porritch, and stir clockwise for 10 minutes., 3. Cast Morsmordre to heat the mixture to a boiling point., 4. Add Sopophorous bean, Acromantula venom, and Mercury and Mars., 5. Use Aberto to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Helps deal with Traces.,"Dawdle Draught | Ingredients: Howlet's Wing, Tar, Pungous Onion, Nux Myristica, Granian hair | Steps: 1. Use Geminio to prepare the cauldron and summon all necessary ingredients., 2. Add Howlet's Wing and Tar, and stir clockwise for 10 minutes., 3. Cast Mucus Ad Nauseam to heat the mixture to a boiling point., 4. Add Pungous Onion, Nux Myristica, and Granian hair., 5. Use Muffliato to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Excessive flatulence.,"Maximum Turbo Farts Potion | Ingredients: Frog, Knarl quill, Starthistle, Tincture of Demiguise, Leech | Steps: 1. Use Reducto to prepare the cauldron and summon all necessary ingredients., 2. Add Frog and Knarl quill, and stir clockwise for 10 minutes., 3. Cast Impervius to heat the mixture to a boiling point., 4. Add Starthistle, Tincture of Demiguise, and Leech., 5. Use Sectumsempra to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Changed the colour of the drinker's hair.,"Hair-Dyeing Potion | Ingredients: Fairy wings, Cowbane, Essence of comfrey, Crocodile heart, Sardine | Steps: 1. Use Riddikulus to prepare the cauldron and summon all necessary ingredients., 2. Add Fairy wings and Cowbane, and stir clockwise for 10 minutes., 3. Cast Oppugno to heat the mixture to a boiling point., 4. Add Essence of comfrey, Crocodile heart, and Sardine., 5. Use Rictusempra to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Relieved anxiety.,"Draught of Peace | Ingredients: Gillyweed, Salt, Eagle owl feather, Powder of vipers-flesh, Pungous Onion | Steps: 1. Use Morsmordre to prepare the cauldron and summon all necessary ingredients., 2. Add Gillyweed and Salt, and stir clockwise for 10 minutes., 3. Cast Avis to heat the mixture to a boiling point., 4. Add Eagle owl feather, Powder of vipers-flesh, and Pungous Onion., 5. Use Fidelius Charm to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
